4M5DX,4m5dx.no-ip.org:7300
HB9OK,www.hb9ok.org:4000
HB9ON-9,www.hb9on.org:8000
HB9TVW-9,hb9tvw.homeip.net:8000
HB9VID-2,78.47.138.186:7300
HG8PRC,hg8lxl.ham.hu:8000
HI5MLE-6,hi5mle.no-ip.org:9000
HP2AT,200.46.129.2:9000
HP2AT-4,hp2at.privatedns.org:9000
HP2NG-3,hp2ng.privatedns.org:7300
HP2STE-3,hp2at.privatedns.org:7300
HS0ZER,hs0zer.no-ip.com:9000
HS0ZER-15,hs0zer.no-ip.com:9000
I0INU,i0inu.dyndns.org
I0INU,I0INU.DYNDNS.ORG:7300
I0INU-6,i0inu.dyndns.org:7300
I0OJJ-6,i0ojj.mooo.com:8000
I2782VE-1,swlcluster.homepc.it:7300
I3ITX-6,cluster.futuristic.it:8000
I5UXJ,i5uxj-2.cln.it:8000
I5UXJ-2,i5uxj-2.cln.it:8000
I6FLD,151.8.162.130:40112
I8NHJ,193.207.106.230
I8ZSE-1,dxcluster.i8zse.eu:7300
IK0XWV,ik0xwv.dyndns.org:9000
IK0XWV-6,ik0xwv.dyndns.org:7300
IK1HJS,84.253.133.59:7300
IK1ZNW,213.254.10.100:8000
IK1ZNW,213.254.10.100:9000
IK1ZNW-6,dx.ik1znw.org:8000
IK2DUW-6,ik2duw.homepc.it:7300
IK2WAD-6,IK2WAD.SERVEHTTP.COM:7300
IK2XDE,80.67.113.160:8000
IK2XDE-6,80.67.113.160:8000
IK2XDE-6,ik2xde.ddns.net:8000
IK3EDJ,62.110.106.170:9000
IK3EDJ-6,ik3edj.dxgang.net:9000
IK4ICZ,ik4icz.dyndns.org:8000
IK4ICZ-5,ik4icz-5.dyndns.org:7300
IK4ICZ-6,ik4icz.dyndns.org:8000
IK5PWJ,146.48.126.28:8000
IK5PWJ,ik5pwj-6.dyndns.org:8000
IK5PWJ-6,ik5pwj-6.dyndns.org:8000
IK5YZW,ik5yzw.dyndns.org:8000
IK5YZW-6,ik5yzw.no-ip.org:8000
IK5ZUK,IK5ZUK.DYNDNS.ORG:8000
IK5ZUK,ik5zuk.dyndns.org:8000nn
IK5ZUK,ik5zuk.dyndns.org:9000
IK5ZUK-6,ik5zuk.dxcluster.net:8000
IK6GPZ,151.8.162.130:41112
IK6IHH,151.8.162.130:9000
IK6IHL,81.73.149.81:40112
IK6IHL-6,ik6ihl.dyndns.org:7300
IK6QOO-6,82.63.231.82:8000
IK6SNR,151.8.162.130:9000
IK6TJX,81.73.149.81:9000
IK6TJX-6,ham.ik6ihl.org:9000
IK6VXO,dx.ik6vxo.net
IK6XMI-6,ik6xmi.homepc.it:8000
IK6ZDE-6,ik6zde.hamradioonline.net:9000
IK7IMO,ik7imo.dyndns.org:7000
IK7IMO-6,ik7imo.ddns.net:7000
IK7MCJ,ik7mcj-6.dyndns.org:7000
IK7NXQ,ik7nxu.dyndns.org:9000
IK7NXQ-6,ik7nxu.dyndns.org:9000
IK7NXU,ik7nxu.dyndns.org:8000
IK7NXU-6,ik7nxu.dyndns.org:7300
IK7QLZ,ik7qlz.dyndns.org:7000
IK7QLZ-6,ik7qlz.dyndns.org:7000
IK7UXW-6,ik7uxw.dyndns.org:7300
IK7XLW-6,ik7xlw.dyndns.org:7300
IK8HJC,ik8hjc.dyndns.org:8000
IK8HJC-6,ik8hjc.dyndns.org:8000
IK8UHA,ik8uha.dyndns.org:9000
IK8VKW-6,ik8vkw.no-ip.biz:9001
IK8VRN,ik8vrn.dyndns.org:7000
IK8VRN-6,ik8vrn.dyndns.org:7000
IQ0LT-6,cluster.iq0lt.net:7300
IQ0LT-6,IQ0LT.NET:7300
IQ0SS,iq0ss.mine.nu
IQ1GP-6,cluster.ari-rivarolo.org:7000
IQ1IM-6,iq1im.ddns.net:7300
IQ1LA-6,iq1la-6.dyndns-ip.com
IQ1RY-6,aribra.it:7000
IQ2ER-2,iq2er.ddns.net:7300
IQ2GM-6,88.62.17.250:64300
IQ2HQ,77.43.115.57:7373
IQ2LB-6,dx.arilimbiate.it:7300
IQ4AX,195.43.189.178:8000
IQ4AX-6,dxcluster.arimodena.it:8000
IQ4RN,195.223.80.85:8000
IQ4RN-6,iq4rn.aririmini.it:8000
IQ8BB,80.205.215.149:8000
IQ8BB-6,80.205.215.149:8000
IQ8CS-6,160.97.55.211:80
IQ8DA,iq8da.dyndns.org:9000
IQ8PC-6,83.211.6.124:7300
IQ8PQ-6,iq8pq.aripozzuoli.com:9000
IQ8RB-6,iq8rb.rblob.com:8000
IQ9GF-6,79.9.210.9:7300
IQ9MY-6,iq9my.homepc.it:8000
IR0UGN-6,kwos.dyndns.org:7373
IR2UGI-6,ir2ugi.dyndns.org:9500
IR3DXC,gw.ir3ip.ampr.org:41112
IR3DXC,ir3dxc.net:41112
IR4AD,ir4ad.tzo.com
IR4U,ir4u.dyndns.org:8000
IR4U-6,dxc.aricesena.it:8000
IR4U-6,IR4U.ARICESENA.IT:8000
IR4X,80.183.201.33:8000
IR4X-6,iq4bq.dyndns.org:8000
IR5AG-6,ir5ag.ham.cx:8000
IR5PWJ,146.48.126.27:8000
IR5PWJ-6,radio-linux.isti.cnr.it:8000
IR6IHL,81.73.149.81:41112
IR8AW,ir8aw.dyndns.org:9000
IR8AW-2,ir8aw.dyndns.org:7373
IR8AW-6,ir8aw.dyndns.org:9000
IR8AW-8,ir8aw.dyndns.org:7300
IR9ESI,ir9esi.dyndns.org:7373
IS0GRB,is0grb.ods.org:41112
IS0GRB-6,is0grb.it:41112
IT9DLN,it9dln.homeip.net:41112
IT9FTP-6,82.51.241.1:8000
IT9HZC,62.94.37.234:8000
IT9LCP,151.38.27.197:41112
IT9OBK,it9obk.org:41112
IT9OBK-6,it9obk.org:41112
IT9WDY-6,it9wdy-6.dyndns.org:41112
IV3SCP-6,iv3scp.dyndns.org:7300
IV3YXW-6,iv3yxw.dyndns.org:8000
IW0QMN-6,82.91.115.48:8000
IW0QNL-6,iw0qnlserver.ns0.it:9002
IW1QLH-6,cluster.hrdlog.net:7300
IW1QLH-7,cluster.hrdlog.net:7373
IW2ESA,iw2esa.dyndns.org:7300
IW2EVH-6,1972.dyndns.tv:7300
IW2KPL-6,www.dxcluster.world
IW2NOY-2,iw2noy.ddns.net:7300
IW2OAZ,iw2oaz.dyndns.org:7300
IW3FVZ-6,dx.iw3fvz.it:8000
IW5ECF,ham.homelinux.org:8000
IW5ECF-6,ham.homelinux.org:8000
IW8PGT,iw8pgt.homeip.net:8000
IW8PGT-9,iw8pgt.org:8000
IW9FDD-6,iw9fdd.homeip.net:7300
IW9FRA-6,dxspider.iw9fra.com:7300
IW9GTD,iw9gtd.dyndns.org:7300
IW9GTD-6,clx.iw9gtd.it:7300
IZ0AWG,iz0awg.no-ip.org:7300
IZ0AWG-6,iz0awg.it:7300
IZ0FKE,clx.noantri.org
IZ0FKE-6,spider.noantri.info:7000
IZ0UIN-6,cluster-iz0uin.hopto.org:8000
IZ1CQN-6,dx.iz1cqn.it:8000
IZ3LCJ-6,iz3lcj.dyndns.info:8000
IZ3LSV-6,www.iz3lsv.net:8000
IZ3MEZ-8,cluster.iz3mez.it:8000
IZ5FSA,iz5fsa.homedns.org:7300
IZ5FSA-6,www.iz5fsa.net:8000
IZ5ILU-6,iz5ilu.ns0.it:7300
IZ5MMH-3,79.23.57.37
IZ6DDQ,193.205.128.28:41112
IZ6FXS-6,cluster.cisarabruzzo.org:7300
IZ6FZS,iz6fzs.dyndns.org:9000
IZ6FZS-6,iz6fzs.dyndns.org:9000
IZ7AUH,dx.iz7auh.net:8000
IZ7AUH-6,dx.iz7auh.net:8000
IZ7QLZ,ik7qlz.dyndns.org:7000
IZ8BRI,iz8bri.dyndns.org:9000
IZ8BRI-2,iz8bri.dyndns.org:9000
IZ8BRI-6,IZ8BRI.DYNDNS.ORG:9000
IZ8BRI-6,iz8bri.no-ip.org:9000
IZ8CCW,160.97.55.211:9000
IZ8DMZ-6,iz8dmz.no-ip.org:8000
IZ8EJB-6,iz8ejb.ddns.net:8000
IZ8ETW-6,iz8etw.dyndns.org:8000
IZ8FST,iz8fst.dyndns.org:9000
IZ8FST-6,iz8fst.dyndns.org:9000
IZ8MBW-6,dx.iz8mbw.net:7300
IZ8PPI-6,iz8ppi-6.dyndns.org:9000
JA1BWA,ja1bwa.ddo.jp:8010
JA2YYF,ja2yyf.d2g.com
JA2YYF,ja2yyf.dxcluster.jp
JA2YYF,ja2yyf.dxcluster.jp:7300
JA2YYF-9,dxcluster.jp:7300
JA3QGI,linux.figaro.gr.jp:41112
JA3ZWB,219.114.252.219:9000
JA4PXC,ueda-sj.ddo.jp:8000
JA4PXC-11,bld.dxscape.com:8000
JA8IYI,ja8iyi-telnet.jp
JA9IPF,ja9ipf.dyndns.org:9000
JE3YEK,ja3yaq.ampr.org:9000
JF1OCQ,w1vx.atnifty.com
JF1OCQ,w1vx.zive.net
JG1VGX,dxc.jg1vgx.net:7300
JG1VGX-7,ccc.jg1vgx.net:7373
JG1VGX-8,arc.jg1vgx.net:7000
JG1VGX-9,dxc.jg1vgx.net:7300
JH1RFM,jh1rfm.ddo.jp:7300
JH1RFM-11,jh1rfm.ddo.jp:9000
JH1RFM-9,jh1rfm.ddo.jp:7300
JH2ZYY,jh2zyy.d2g.com
JH3LFL,218.180.120.29:41112
JH3LFL,www.610dx.com:41112
JH6VLF,jh6vlf.ddo.jp:8000
JH6VLF-11,jh6vlf.ddo.jp:8000
JI1MNT-8,dx-cluster.com:8877
JI2ZMJ,ji2zmj.dyndns.org:9000
JK1ZRW,jk1zrw.dyndns.org:41112
JK1ZRW-9,dxspider.jk1zrw.org:7300
JL1UXH,kk2h.shacknet.nu
JL3YCW-9,abuail.ddo.jp:7300
JO3VRT,ja3azd.dyndns.org:9000
K0GND,k0gnd.unl.edu
K0KKV,cluster.k0gnd.net
K0KKV-1,cluster.k0gnd.net:7373
K0MN,k0mn.no-ip.org
K0PIR-2,pi.k0pir.us:7300
K0WL,k0wl.ddns.net
K1AJ,k1aj.mine.nu:7300
K1EA,dxc.k1ea.com:7300
K1EU,k1eu.dynip.com
K1NT,12.37.63.25
K1RFI,k1rfi.com:7300
K1RK,falara.whoi.edu
K1SA,sebago.ddns.net:7373
K1TTT,k1ttt.net
K1TTT,k1ttt.net:7373
K1XX,dxc.k1xx.com:7300
K2CAN,k2can.net:4000
K2CAN-2,K2CAN.NET
K2LS,dxc.k2ls.com
K2UT,k2ut.gofrc.org
K3KT-1,216.135.40.104:7300
K3LR,dx.k3lr.com
K3NC,DXCLUSTER.US
K3NC,k3nc.no-ip.com:41112
K3SKE,206.83.246.4
K3UK,cluster.dynalias.org
K3WW,k3ww.gofrc.org:7300
K4AU,k4au.no-ip.org
K4EA,dxc.k4ea.net
K4FCG,k4fcg.dyndns.org
K4FX,dxc.k4fx.net:7300
K4JW,k4jw.no-ip.com:41414
K4KYD-2,dxc.k4kyd.com:7300
K4MD,CDXA.NO-IP.COM
K4MD,k4md.no-ip.com
K4QC,hvldx.tzo.com:41112
K4SAC,208.47.93.174:7300
K4UGA,128.192.52.40:599
K4UGA,k4uga.uga.edu:7300
K4UJ-2,cluster.dx-is.org
K4UP,k4up.tzo.com
K4ZR,k4zr.no-ip.org:7300
K5BLV,68.209.156.142
K5DX,24.153.160.22
K5DX,DXC.TDXS.NET
K5DX,dxc.tdxs.net:7373
K5JZ,dxc.k5jz.net:7373
K5MDX,208.164.147.68
K5PLD,67.10.135.181:8000
K5TL,dxc.k5tl.com
K5UTD,k5utd.utdallas.edu
K6EXO,k6exo.dyndns.org:7300
K6KOZ,k6koz.serveftp.com:7300
K6LLK,dxc.k6llk.com
K6NP,k6np.no-ip.org
K6SY,k6sy.wems.com:7300
K7AR,k7ar.net:7300
K7AR,k7ar.net:7374
K7EK,k7ek.dyndns.org:9000
K7EK-1,k7ek.ddns.net:9000
K7SDX,k7sdx.no-ip.org:7300
K7TJ-1,K7TJ.EWARG.ORG:7300
K8AZ,k8az.no-ip.com
K8BTT-1,cluster.dxworld.info:8000
K8NA,k8na.com
K8SMC,198.109.212.235
K9AJ,dxc.k9aj.net
K9BBS-5,w9bbs.no-ip.org:73
K9CW,rosebud.ece.uiuc.edu-8000
K9CW,ROSEBUD.ECE.UIUC.EDU:8000
K9USA,130.126.139.93:8000
K9USA,soliton.csl.illinois.edu:8000
K9WMS-2,k9wms.com:7374
K9WMS-3,k9wms.com:7373
KA0MOS-10,dxcluster.servebeer.com:2323
KA5EYH,dxc-ka5eyh.drhnet.com
KA9OKH-2,96.27.205.110:7373
KB1H,dxc.kb1h.com:7300
KB2FAF-12,kb2faf.net:7300
KB2SSE-2,kb2sse.dyndns.org:7300
KB2SYD-5,dx.scarcnj.org:7300
KB5VJY-1,kb5vjy.com:8000
KB8PMY-3,www.kb8pmy.net:7300
KB8UVN-2,radio-linux.isti.cnr.it
KC0AVQ,kc0avq.dyndns.org
KC0DJO,kc0djo.dynip.com
KC2CWT,kc2cwt.homeip.net:7300
KC2CWT-9,dxspider.kc2cwt.net:7300
KC3OL-1,kc3ol.dynip.com
KC5NYO,kc5nyo.dns2go.com
KC9AOP-1,dxspots.kc9aop.net:7300
KC9GWK-5,dxspider.kc9gwk.com:7300
KD4GCA,kd4gca.dyndns.org:7300
KD4GCA-9,kd4gca.dyndns.org:7300
KD8ATF-2,kd8atf.ddns.net:7300
KE0CQF-2,ke0cqf.120v.ac:7300
KE2OI,ke2oi-dxc.dyndns.org:7300
KE2OI-10,ke2oi.dyndns.org:7300
KF2FK-1,themaincomputer.net:7300
KF4LLF-8,KF4LLF.no-IP.org:2300
KG4OOL-2,dxfinder.bfielding.com:7300
KG4V,kg4v.miketheactuary.com:4242
KG5NE,kg5ne.no-ip.com
KI5T-2,98.181.43.23:7300
KK4UIL,hobbyshack.no-ip.org:7300
KL7G,69.178.9.102:8000
KL7G,KL7G.ORG:8000
KN0L,KN0L.NO-IP.COM
KN2M,kn2m.d2g.com
KN4F,dxc.kn4f.net
KN8COQ,kn8coq.wmfd.com
KN8COQ-1,kn8coq.no-ip.net
KN9N,kn9n.no-ip.org
KN9N,kn9n.no-ip.org:7300
KP3DX,136.145.86.189
KP4IG,kp4ig.merseine.nu
KP4IG,KP4IG.MERSEINE.NU:9000
KP4JRS-3,dxc.kp4jrs.com
KQ8M,kq8m.no-ip.org:7373
KQ8M-2,kq8m.no-ip.org:7374
KQ8M-3,kq8m.no-ip.org:3608
KQ8M-4,kq8m.no-ip.org
KR9U,kr9u.net
KS4Q,dx.ks4q.net
KS9U,74.99.221.10
KS9W,216.36.97.248
KX4O-2,spots.qsoparty.com:7300
KY1V,dx.ultradx.com
KY4DX,ky4dx.no-ip.com
KY4XX,DXC.KY4XX.COM:7300
KY4XX-3,dxc.ky4xx.com:7300
KY9J-2,dxc.ky9j.com:7300
LA1B,193.75.61.192:7300
LA1B-9,193.75.61.192:7300
LA3C-6,la3c.shacknet.nu:7372
LA3C-7,la3c.shacknet.nu:7300
LA3R,la3r-6.shacknet.nu
LA3R,LA3R-6.SHACKNET.NU:9000
LA3R-6,la3r-6.shacknet.nu:9000
LA3WAA-6,la3waa.ddns.net:8000
LA7Q,cobranett.no-ip.info:9000
LA7Q-6,la7q.ddns.net:9000
LU5YBR,200.16.245.244:9000
LU6DTS,lu6dts.com.ar:41112
LU9DA-6,lu9da.no-ip.org:9000
LU9DMG-6,packet.com.ar:9000
LX0IST-7,radio-linux.isti.cnr.it
LZ0DXC,lz0dxc.tabakov.net:7300
LZ7A,cluster.lz1kaa.com:7300
M0UKC,m0clw.shacknet.nu:7376
MB6WV,mb6wv.dtdns.net:7373
N0CDA,n0cda.homedns.org:7300
N0CDA-1,n0cda.homedns.org:7300
N0VD,cluster.dx-central.com
N0VD-7,cluster.dxcentral.com
N1HEJ,24.151.230.209:
N1HEJ,24.151.230.209:7300
N1OFZ,n1ofz.dyndns.org:7300
N1OFZ-5,cluster.twc-inc.net:7300
N1TA,dx.n1ta.com
N1UAN,n1uan.dyndns.org:7300
N1UAN-9,n1uan.org:7300
N1URO,dx.n1uro.com:9001
N2FJ-2,n2fjdx.no-ip.org
N2KI,dxc.n2ki.com:7300
N2UGA-9,n2uga.org:7300
N2WLS-5,dxc.n2wls.com:7300
N2XWV,dxc.n2xwv-4.com:7300
N3BSQ-1,n3bsq.no-ip.com:7300
N3KDA,n3kda.ham-radio-op.net
N3MEQ,n3meq.dynip.com:8000
N3MEQ-2,n3meq.dyndns.ws:8000
N3QO-1,dx.n3qo.com:7300
N3RA,dx.n3ra.com
N3TUQ-15,home.n3tuq.com:2323
N3UA,N3UA.HOPTO.ORG:7373
N4DEN,DXC.W4ML.NET:7373
N4DW-9,n4dw.no-ip.org:7300
N4LEM-5,n4lem.net:7300
N4SER,n4ser.dyndns.org
N4VFF-2,dx.harwood.com:8000
N4VVF,dx.harwood.com:8000
N4ZKF,dxc.n4zkf.com
N4ZKF-1,CCC.N4ZKF.COM:7373
N4ZKF-1,dxc.n4zkf.com:7373
N5IN,n5in.digikey.com
N5UXT,dxc.n5uxt.net
N5UXT,dxc.n5uxt.org
N6WS,n6ws.dyndns.org:7300
N6WS-2,n6ws.ddns.net:7302
N6WS-2,n6ws.no-ip.org:7302
N6WS-5,N6WS.NO-IP.ORG:7373
N6WS-6,n6ws.ddns.net:7300
N6WS-6,n6ws.no-ip.org:7300
N7OD,n7od.pentux.net
N7TR,dxc.n7tr.com
N7TR,dxc.n7tr.com:7300
N7TR-1,dxc.n7tr.com:7373
N7XG-7,n7xg.ddns.net:7300
N7XY,n7xy.net:7300
N8DXE,n8dxe.dxengineering.com
N8DXE-1,n8dxe.dxengineering.com:7373
N8JF,76.236.93.115:7300
N8NM,n8nm.servebeer.com
N8NOE-2,dx.n8noe.us
